,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,basement,sqft_living15,sqft_lot15,age_at_selling,log_price,renovated,zip_mean_price
69,4,2,3200,20158,0,0,0,1,3,1600,1,3390,20158,49,14.100689500197937,0,3
70,4,3,4770,50094,0,0,0,2,5,3070,1,3530,38917,41,13.854731271117556,0,3
71,2,1,1260,5612,0,0,0,2,2,1260,0,1640,4745,43,12.691580461311874,0,2
72,3,1,2750,7807,0,0,0,2,2,2250,1,1510,7807,98,13.255144488638146,0,1
73,3,2,2380,5000,1,0,0,1,3,2380,0,2420,5000,9,12.793859310432293,0,1
74,2,1,1790,50529,0,0,0,2,2,1090,1,1940,50529,50,12.762827201184564,0,1
75,3,3,3430,35102,1,0,0,2,5,2390,1,3240,35020,28,13.632188500836737,0,3
76,3,1,1760,7300,0,0,0,1,2,880,1,1680,7500,58,12.84792653170257,0,2
77,2,0,1040,5060,0,0,0,1,2,1040,0,890,5060,74,13.081541382884074,0,2
78,2,0,1410,5060,0,0,0,2,2,910,1,1130,5693,58,12.92391243868049,0,1
79,3,2,3450,39683,1,0,0,1,5,3450,0,3350,39750,13,13.487006490992238,0,1
80,2,2,2350,5100,1,0,0,1,3,2350,0,2350,5363,11,12.873902018105829,0,1
81,3,2,1900,5889,1,0,0,1,2,1900,0,1870,6405,22,12.793859310432293,0,1
82,1,0,2020,6720,0,0,0,1,2,1010,1,1720,6720,66,12.779873068457553,0,1
83,2,1,1680,8712,0,0,0,1,3,1680,0,1850,8797,51,12.782686009834167,0,1
84,2,0,960,6634,0,0,0,1,1,960,0,1570,7203,62,12.66032791780777,0,1
85,2,1,2140,3600,1,0,0,1,4,1900,1,2020,4800,89,13.753635154246187,0,3
86,4,2,2660,8400,0,0,0,2,2,2660,0,1590,8165,53,12.628067055589549,0,1
87,2,3,2770,6278,1,0,0,1,4,1980,1,1900,7349,8,13.041153321978786,0,1
88,1,2,1610,2040,1,0,0,2,2,1610,0,1950,2025,35,12.2783933071098,0,1
89,1,1,1030,1066,1,0,0,1,2,765,1,1030,1106,8,12.721885810807203,0,2
90,3,2,1980,7403,1,0,0,1,2,1980,0,1980,7510,26,12.402872221504781,0,0
91,4,2,3520,6353,1,0,0,2,5,3520,0,2520,6250,14,13.9108207377686,0,3
92,2,0,1200,10500,0,0,0,1,2,1200,0,1350,10500,53,11.938193200374572,0,0
93,2,1,1580,5000,0,0,0,1,3,1290,1,1570,4500,75,12.971540487669746,0,2
94,2,1,1580,5000,0,0,0,1,3,1290,1,1570,4500,75,13.458835614025542,0,2
95,3,2,3300,10250,0,0,0,1,2,2390,1,1950,6045,68,13.715690222682063,1,3
96,2,1,1960,15681,0,0,0,1,2,1960,0,1750,15616,48,12.419165860990882,0,0
97,3,1,1160,6400,0,0,0,2,2,1160,0,1160,6400,39,12.201060103706629,0,0
98,2,1,1810,41800,0,0,0,2,2,1210,1,1650,135036,34,12.65714826489039,0,1
99,2,2,2320,36847,1,0,1,1,4,2320,0,2550,35065,22,12.988831984779805,0,1
100,2,2,2070,13241,0,0,0,2,4,1270,1,2200,4500,104,13.653967622617456,0,3
101,2,1,1980,3478,0,0,0,2,2,1440,1,1610,3478,85,13.226723392728571,0,2
102,2,2,2190,107593,1,0,0,2,3,2190,0,2570,47777,31,13.458764182902971,0,2
103,2,2,2920,8113,1,0,0,1,3,2920,0,2370,8113,64,13.901688254205327,1,3
104,2,0,1210,33919,0,0,0,1,2,1210,0,1640,14910,60,12.577636201962656,0,1
105,2,2,2340,10005,0,0,0,2,3,1460,1,2250,8162,37,12.834681304952548,0,1
106,2,0,1670,4005,0,0,0,2,2,1170,1,1240,4005,75,13.038981768465277,0,2
107,1,1,1240,2493,0,0,0,2,3,1240,0,1270,4966,29,12.146853285870202,0,1
108,3,2,3140,28037,1,0,0,2,5,3140,0,2990,35001,24,13.42984807715229,0,2
109,4,1,2030,12342,1,0,0,2,2,2030,0,2500,9433,72,13.060487973686241,0,2
110,3,2,2310,9624,1,0,0,1,3,2310,0,1940,9636,30,13.30092788532057,0,2
111,2,1,1260,3328,0,0,0,2,1,700,1,1380,3536,110,13.253391639810733,0,2
112,2,1,1540,12600,0,0,0,2,2,1160,0,1540,11656,34,12.515393893085436,0,1
113,2,1,2080,5969,0,0,1,1,2,1080,1,2090,5500,43,12.706696406811568,0,1
114,3,2,3230,16171,1,0,0,1,4,2520,1,2640,8517,13,13.081541382884074,0,0
115,2,3,4380,6350,1,0,0,1,3,2780,0,1830,6350,114,13.51508091268999,0,2
116,2,3,1590,1102,2,0,0,1,3,1590,0,1620,3166,4,13.158695306651719,0,2
117,1,0,880,6780,0,0,0,2,1,880,0,1190,6780,69,12.232836282799388,0,1
118,3,1,1570,9600,0,0,0,1,1,1570,0,1880,9000,65,12.054086288532291,0,0
119,3,0,1610,2982,0,0,0,2,2,1610,0,1610,4040,90,13.190022025878143,0,2
120,2,2,2400,6474,0,0,1,1,3,1560,1,2340,10856,51,13.399995114002609,0,2
121,2,1,1450,9132,0,0,0,1,2,1450,0,1580,9104,27,12.877740794412995,0,2
122,1,0,770,6000,0,0,0,1,1,770,0,1710,6000,62,12.886641043883259,0,2
123,3,1,2100,4400,0,0,0,2,2,1720,1,1850,4400,90,13.005829561148378,0,1
124,2,2,2910,10204,1,0,0,1,4,2910,0,2700,13992,24,13.554145793829866,0,2
125,3,2,2750,17789,0,0,0,1,3,1980,1,3060,11275,101,14.187074114396758,1,3
126,2,2,2100,8201,0,0,1,1,3,1620,1,2660,8712,47,13.005829561148378,0,1
127,3,2,2160,8811,0,0,0,1,3,1360,1,2090,8400,36,12.468436909997665,0,0
128,4,3,2320,4960,1,0,0,2,2,1720,1,1700,4960,88,13.620103761621664,0,2
129,3,2,2070,4310,1,0,0,1,2,2070,0,1970,3748,11,12.971540487669746,0,2
130,2,1,1060,7875,0,0,0,2,2,1060,0,1420,7680,29,12.26434155365415,0,1
131,3,2,2010,9603,0,0,0,1,3,1440,1,2060,9793,29,13.400752402944518,0,2
132,2,3,3950,111078,0,0,0,1,4,2460,1,2480,88500,25,13.572164299332545,0,2
133,2,2,2010,2287,1,0,0,1,3,1390,1,1690,1662,0,13.024190303426474,0,2
134,3,3,2140,2278,2,0,0,1,4,2140,0,1540,2285,10,13.422467969854667,0,2
135,2,1,1320,17390,0,0,0,2,2,1320,0,1550,19265,58,12.201060103706629,0,0
136,3,1,2020,7840,0,0,0,1,2,1010,1,1750,8140,46,12.301382825334498,0,0
137,3,2,2590,10002,0,0,0,2,3,1340,1,1550,10436,46,13.021437458814368,0,1
138,1,0,1190,4440,0,0,0,1,1,1190,0,1060,5715,33,12.854483932248728,0,1
139,2,2,1170,1249,2,0,0,1,3,1170,0,1350,1310,0,13.161487932088379,0,2
140,1,0,1110,3200,0,0,0,1,2,1110,0,1170,3600,89,13.407542319637992,0,3
141,4,2,2820,9375,0,0,0,2,3,1550,1,2820,9375,46,13.17628321939376,0,3
142,2,0,1610,8579,0,0,0,2,2,1010,1,1610,8579,53,12.230765258120545,0,1
143,2,0,1060,8097,0,0,0,2,2,940,1,1560,7940,92,12.948009990259552,0,1
144,3,2,2030,8517,0,0,0,2,3,1380,1,2230,8824,54,13.122363377404328,0,3
145,3,2,3670,315374,1,0,0,2,4,3670,0,2840,87991,20,13.733758056092014,0,2
146,3,0,2550,4000,1,0,0,1,3,2370,1,2200,4000,109,13.698976741708323,0,3
147,1,2,2420,60984,1,0,0,1,2,2420,0,1940,193842,7,12.971540487669746,0,2
148,4,1,2260,12500,0,0,0,2,3,1130,1,1360,18000,54,12.460714863903755,0,0
149,2,0,1430,3455,0,0,0,1,2,980,1,1450,4599,67,13.144124869185841,0,2
150,2,1,1360,3090,1,0,0,1,3,1360,0,1500,3090,24,13.184718266151094,0,2
151,2,0,1110,5000,0,0,0,1,2,1110,0,1420,5000,68,13.235692062711331,0,2
152,2,0,1250,8200,0,0,0,2,2,1250,0,1680,8633,61,12.55302548257067,0,0
153,3,3,5180,19850,1,0,1,1,6,3540,1,3160,9750,9,14.626440774180603,0,3
154,0,0,700,5100,0,0,0,1,2,700,0,1010,5100,72,12.765688433465597,0,2
155,2,0,1180,7669,0,0,0,2,2,1180,0,1190,7669,47,12.2783933071098,0,1
156,4,3,3960,25245,1,0,0,1,4,2500,1,2640,13675,18,13.38472764187182,0,1
157,3,2,2640,7500,0,0,0,1,3,1620,1,1980,7875,47,12.676076274775909,0,0
158,2,1,1270,7198,0,0,0,1,2,1270,0,1160,7198,98,12.417143615610113,1,1
159,3,1,1760,11180,0,0,0,2,3,1760,0,1730,11180,46,12.676076274775909,0,1
160,4,2,2060,8632,0,0,0,1,2,1030,1,1010,11680,52,12.449018824140563,0,1
161,2,1,1780,9660,0,0,0,1,2,1780,0,1200,9660,53,12.989974189358584,0,2
162,2,2,3400,16603,1,0,0,1,5,3400,0,3400,12601,15,13.710150042306449,0,3
163,2,2,1910,7280,0,0,0,1,2,1160,1,1710,8152,35,12.996800154428984,0,2
164,2,1,2020,38332,0,0,0,2,2,1010,1,2110,36590,39,12.948009990259552,0,2
165,2,1,1580,7000,0,0,0,1,2,1180,1,1640,7500,38,12.821258284620408,0,2
166,1,1,1340,7250,0,0,0,2,0,700,1,1830,9750,66,12.505992035646432,0,1
167,3,2,2680,4499,1,0,0,1,4,2680,0,2920,4500,16,13.601202855312463,0,3
168,2,2,2680,9750,0,0,0,2,3,1610,1,2480,8750,35,13.389332408258568,0,2
169,2,1,1370,8336,0,0,0,2,2,1370,0,1770,7288,50,12.82530414313995,0,1
170,2,1,1560,21000,0,0,0,1,2,1560,0,1070,7920,61,12.556729517143344,0,1
171,2,1,2160,7140,0,0,0,2,2,1670,1,1930,7350,37,12.513557345278134,0,0
172,2,1,1340,7912,0,0,0,1,2,1340,0,1480,7940,59,12.65395846952229,0,1
173,3,2,3880,35003,1,0,0,1,5,2570,1,3740,35230,31,13.729407858910863,0,3
174,3,2,2590,8190,1,0,0,2,3,2590,0,2260,8335,34,13.419500608626866,0,3
175,2,2,1120,1100,1,0,0,1,3,820,1,1590,1795,7,12.959844447906553,0,2
176,4,2,1970,5400,0,0,0,1,2,1320,1,1280,2150,28,12.899094818276968,0,2
177,2,0,1220,4800,0,0,0,1,1,1220,0,1200,4800,113,12.86099861326992,0,2
178,2,1,1950,7560,0,0,1,2,2,1320,1,1950,8941,39,12.505992035646432,0,1
179,1,0,1350,8220,0,0,0,1,2,1060,1,1540,8280,66,12.706847933442663,0,2
180,2,2,1670,5797,1,0,0,1,2,1670,0,1670,6183,26,12.468436909997665,0,0
181,3,2,2380,5125,0,0,0,2,2,1680,1,1410,5375,90,13.060487973686241,0,1
182,3,2,2440,9600,1,0,0,2,2,2440,0,2290,9600,53,13.286181462633724,0,2
183,1,1,1050,3419,1,0,0,1,2,1050,0,1050,3417,18,12.004568269319446,0,1
184,3,2,3130,13412,1,0,0,1,4,2140,1,2260,9984,21,13.635187003832993,0,2
185,4,2,4090,12850,0,0,1,2,5,2090,1,2540,10270,28,13.9108207377686,0,3
186,3,1,1490,10000,0,0,0,2,3,1100,1,2190,8910,46,12.502466658583977,0,0
187,2,2,1900,8744,1,0,0,1,3,1900,0,2030,8744,27,13.235692062711331,0,2
188,3,0,1330,2400,0,0,0,2,1,1330,0,1330,4400,114,13.329377546788654,0,2
189,2,2,2230,10026,0,0,0,1,3,1430,1,2230,9340,39,13.27968844210788,0,2
190,2,1,1650,9480,0,0,0,1,2,1220,1,1540,8400,37,12.628067055589549,0,2
191,2,0,1190,8820,0,0,0,1,1,1190,0,1230,7980,55,12.0254496453718,0,1
192,2,2,2140,9897,0,0,0,2,3,2140,0,2680,10083,55,13.591116224748411,0,3
193,2,2,2180,7508,0,0,0,2,2,1420,1,1900,7818,52,12.89921982609012,0,1
194,2,0,1060,10228,0,0,0,1,2,1060,0,1570,10228,66,12.345834587905333,0,1
195,2,2,1690,5025,1,0,0,1,3,1690,0,2550,5001,11,12.456376007299998,0,0
196,3,1,1970,6480,0,0,0,2,2,1130,1,1500,6480,94,12.955127458028414,0,1
197,2,2,2150,4084,1,0,0,1,3,2150,0,1750,2385,7,13.049792684569493,0,1
198,2,2,1910,66211,1,0,0,1,2,1910,0,2330,67268,18,12.994530005894443,0,2
199,2,1,1350,155073,0,0,0,2,2,1350,0,1560,50965,45,12.86099861326992,0,1
200,2,0,860,11725,0,0,0,2,1,860,0,1300,9514,72,12.254862809699606,0,1
201,2,2,1940,14952,1,0,0,1,3,1940,0,2030,10450,20,12.601487417784837,0,1
202,2,0,1010,5000,0,0,0,1,2,1010,0,1680,5000,62,13.060487973686241,0,2
203,2,1,1300,7370,0,0,0,2,2,900,1,1430,7500,38,12.330500223905226,0,0
204,2,0,910,8450,0,0,0,2,1,910,0,1400,8040,53,12.521795378137476,0,1
205,3,1,2480,11010,0,0,0,2,4,1630,1,2770,10744,48,13.641157170819497,0,3
206,2,2,2440,4587,1,0,0,1,3,2440,0,2750,4587,4,13.426755063419057,0,2
207,2,0,1010,5864,0,0,0,1,2,1010,0,1290,5000,100,12.959844447906553,0,2
208,1,0,900,9600,0,0,0,1,1,900,0,1250,14280,73,12.102100055147195,0,1
209,5,2,2300,3404,1,0,0,1,2,1600,1,1560,1312,94,13.047639831208393,1,1
210,3,2,1550,7579,1,0,0,1,3,1550,0,1630,6397,22,12.676076274775909,0,1
211,2,2,1270,1566,1,0,0,1,3,1060,1,1160,1327,0,13.346313003752748,0,3
212,3,2,2240,12032,0,0,0,1,4,2240,0,2520,12368,31,13.292106151991423,0,2
213,2,2,2714,17936,1,0,0,1,4,2714,0,2590,18386,10,13.049792684569493,0,0
214,3,2,1720,6270,1,0,0,1,3,1720,0,2130,8700,36,13.075271769870477,0,1
215,1,0,850,16400,0,0,0,1,1,850,0,1100,14459,92,12.542544882151386,0,0
216,4,2,3300,33474,0,0,1,1,4,1870,1,3836,20953,58,14.227620208791107,1,3
217,2,2,2250,5692,1,0,0,1,3,2250,0,1320,5390,14,13.007710936319127,0,1
218,1,2,3900,14864,0,0,1,1,3,1950,1,2580,5184,67,13.883169206438088,0,2
219,1,1,1320,10800,0,0,0,2,3,1320,0,2120,12040,67,13.054084536651034,0,2
220,3,2,2760,6440,1,0,0,1,5,2760,0,3070,8127,15,13.438632906708023,0,3
221,2,1,1750,9750,0,0,0,1,2,1350,1,1900,10125,53,12.54236629477704,0,1
222,3,2,2330,19436,1,0,0,1,3,2330,0,1910,10055,27,13.1749558275235,0,1
223,2,2,2220,16020,0,0,0,2,3,1780,1,2080,9583,48,12.691580461311874,0,0
224,2,2,2020,8379,1,0,0,1,2,2020,0,2020,8031,20,12.70076888736628,0,1
225,2,2,1250,7500,0,0,0,2,2,1250,0,1280,7392,72,12.873902018105829,0,1
226,1,1,1510,6516,0,0,0,1,3,1510,0,1640,6009,10,13.081437210791684,0,2
227,3,2,1720,9753,0,0,0,2,2,1120,1,1510,9753,36,12.487296407920908,0,0
228,2,0,1430,15246,0,0,0,2,2,980,1,1960,13068,54,12.367340793126296,0,1
229,2,2,1480,4729,1,0,0,1,2,1480,0,2250,4729,11,13.15483056754183,0,2
230,1,1,1450,15798,1,1,1,1,2,1230,1,2030,13193,100,13.39239051461739,1,1
231,3,2,2280,15347,0,0,0,2,2,2280,0,2280,15347,54,13.122363377404328,0,1
232,5,2,2940,7350,0,0,0,1,3,1780,1,2120,8236,36,12.66032791780777,0,0
233,1,0,1000,10200,0,0,0,1,1,1000,0,1150,13702,53,12.269047444691562,0,2
234,2,1,2480,5280,0,0,0,2,2,1620,1,2090,4800,67,13.071070083016778,0,1
235,4,3,3760,28040,1,0,0,1,5,3760,0,3430,35096,31,13.845069360205818,0,3
236,2,1,2220,94300,0,0,0,2,2,1640,1,2070,80100,39,12.9384405392434,0,1
237,3,0,1970,4740,0,0,0,1,2,1670,1,1510,4740,111,12.92391243868049,1,2
238,2,3,3830,221284,1,0,0,1,5,3530,1,2920,148539,21,13.592367006650065,0,2
239,5,2,4410,14034,0,0,1,2,4,2350,1,2600,13988,49,13.064734264567692,0,0
240,2,1,1430,8505,0,0,0,2,2,1430,0,1190,8640,46,12.323855681186558,0,0
241,1,0,830,6000,0,0,0,1,1,830,0,830,4960,74,12.254862809699606,0,1
242,1,0,1430,5000,0,0,0,0,2,1430,0,1450,3750,90,13.028052697933088,0,2
243,2,0,1300,8316,0,0,0,2,1,1300,0,1260,8316,61,12.323855681186558,0,0
244,1,0,1030,3060,0,0,1,2,2,790,1,1390,3060,96,13.081541382884074,0,2
245,2,2,2740,11872,1,0,0,1,4,2740,0,2570,10377,25,12.802158113246987,0,0
246,3,2,3650,8354,0,1,1,1,4,1830,1,3120,18841,14,14.690979295318174,0,2
247,1,1,720,5120,0,0,0,1,1,720,0,1150,2566,61,12.106252310247962,0,1
248,3,1,2010,7312,0,0,0,2,2,2010,0,2010,7650,39,12.429216196844383,0,0
249,2,1,1560,3000,0,0,0,2,1,770,1,1390,3000,97,13.083622549087899,0,2
250,2,1,1810,7209,0,0,0,2,2,1240,1,1750,7209,36,12.468436909997665,0,0
251,3,2,3360,7685,1,0,0,1,4,3360,0,3060,6567,13,13.028052697933088,0,1
252,2,2,1510,36224,1,0,0,1,3,1510,0,1730,36224,24,12.936033799212835,0,1
253,2,0,1400,3538,0,0,0,1,2,800,1,1620,6331,62,12.764258840656002,0,1
254,2,2,1730,7442,1,0,0,1,2,1730,0,1630,6458,27,12.409013489526863,0,0
255,1,1,1420,9191,0,0,1,2,2,1420,0,1420,6816,86,13.292106151991423,0,2
256,3,1,2360,7620,0,0,0,2,2,1180,1,1910,7620,59,12.86099861326992,0,1
257,2,1,1580,11455,0,0,0,2,2,1200,1,1550,10650,41,12.66032791780777,0,1
258,2,0,1230,10170,0,0,0,1,2,1230,0,1380,10098,35,12.449018824140563,0,1
259,3,2,2460,4425,1,0,0,1,3,2460,0,2990,5659,8,13.448785278172041,0,2
260,2,0,1660,4400,0,0,0,1,3,1460,1,1660,4400,103,13.567049198665774,0,3
261,2,1,1270,8470,0,0,0,2,2,1270,0,1600,8470,54,12.375815420117268,0,1
262,2,2,2100,40510,1,0,0,1,5,1320,1,2380,33450,35,13.17115354157376,0,2
263,1,0,770,5040,0,0,0,1,0,770,0,1330,2580,85,12.959844447906553,0,2
264,0,0,760,10079,0,1,1,2,0,760,0,1230,14267,78,12.820987977820545,0,1
265,3,2,1700,7280,1,0,0,2,2,1700,0,1950,7475,26,12.577636201962656,0,1
266,2,0,1120,10701,0,0,0,1,2,1120,0,1130,6350,60,12.560244459250788,0,1
267,1,0,1070,4500,0,0,0,1,2,1070,0,1320,4465,77,12.936033799212835,0,2
268,2,2,2070,9900,0,0,0,1,3,1420,1,2070,8250,36,12.515393893085436,0,0
269,3,3,5050,20100,0,0,1,1,5,4750,1,3890,20060,33,14.880221294956703,0,3
270,3,4,5310,57346,1,0,0,2,5,5310,0,4180,47443,25,14.130321297804308,0,2
271,1,0,1040,7538,0,0,0,2,2,1040,0,1440,7530,76,12.985397522331171,0,1
272,2,0,1700,11390,0,0,0,2,2,1700,0,1350,8164,47,12.254862809699606,0,0
273,2,0,1300,5898,0,0,0,1,2,1300,0,1320,7619,53,12.371587084007746,0,1
274,2,1,1080,1306,0,0,0,1,2,580,1,1440,2225,60,12.7098736543592,1,3
275,2,2,2653,4510,1,0,0,1,3,2653,0,2653,4927,9,12.80765263256463,0,1
276,2,1,2290,16258,0,0,0,2,3,2290,0,1660,10530,55,13.017002861746503,0,1
277,3,2,3820,26300,1,0,0,1,4,2850,1,1860,12136,0,13.554145793829866,0,1
278,3,2,2210,49375,0,0,0,1,3,2210,0,2670,49385,18,13.028052697933088,0,1
279,2,1,2390,6000,0,0,0,1,1,1240,1,2020,6000,107,12.911642346088676,0,1
280,3,1,2600,11325,0,0,0,2,2,1610,1,1720,11088,45,12.627739132976346,0,1
281,1,0,860,5265,0,0,0,1,1,860,0,1650,8775,84,12.043553716032399,0,1
282,4,2,3830,8480,1,0,1,2,4,2630,1,3050,7556,110,14.53335035111459,1,2
283,3,2,3500,7048,1,0,0,1,4,3500,0,3920,7864,9,13.567049198665774,0,2
284,2,2,2420,13959,0,0,0,2,3,1740,1,2570,13300,27,12.706847933442663,0,1
285,3,2,2720,8666,1,0,0,1,4,2720,0,2410,8100,22,12.821258284620408,0,0
286,4,2,2500,13500,0,0,0,1,2,1850,1,2300,9750,35,13.054084536651034,0,2
287,2,1,1670,6720,0,0,0,1,2,1140,1,1670,7320,35,12.911642346088676,0,2
288,4,2,2900,10300,0,0,0,1,3,1450,1,2310,10300,29,13.422467969854667,0,3
289,1,0,1640,14100,0,0,0,2,2,1140,1,1520,13527,60,13.122363377404328,0,3
290,3,2,1890,15770,1,0,0,2,2,1890,0,2410,15256,46,12.873899453999977,0,1
291,3,1,2950,9025,0,0,1,2,3,1780,1,2120,9600,40,13.353475098367715,0,2
292,3,2,2160,9528,1,0,0,1,4,2160,0,2280,9937,22,12.793859310432293,0,0
293,3,2,3280,11060,1,0,0,1,3,2270,1,2320,11004,28,13.270783382522602,0,1
294,2,1,1970,4166,1,0,1,2,3,1270,1,2390,4166,85,13.217673557208654,0,1
